"","ScientificName","Synonyms","TaxID","AtlasSp","AtlasID","AtlasSp2","AtlasID2"
"1","Lyrurus tetrix","Tetrao tetrix",259,"Lyrurus tetrix",575,"Tetrao tetrix",140
"2","Mareca strepera","Anas strepera",386,"Mareca strepera",609,"Anas strepera",143
"3","Spatula clypeata","Anas clypeata",406,"Spatula clypeata",617,"Anas clypeata",158
"4","Spatula querquedula","Anas querquedula",416,"Spatula querquedula",691,"Anas querquedula",118
"5","Dryobates minor","Dendrocopos minor",575,"Dryobates minor",635,"Dendrocopos minor",46
"6","Leiopicus medius","Dendrocopos medius",582,"Leiopicus medius",706,"Dendrocopos medius",152
"7","Zapornia parva","Porzana parva",2509,"Zapornia parva",701,"Porzana parva",174
"8","Eudromias morinellus","Charadrius morinellus",2737,"Eudromias morinellus",716,"Charadrius morinellus",171
"9","Clanga pomarina","Aquila pomarina",3076,"Clanga pomarina",753,"Aquila pomarina",170
"10","Calliope calliope","Luscinia calliope",5743,"Calliope calliope",832,"Luscinia calliope",539
"11","Saxicola torquatus","Saxicola torquata",5822,"Saxicola torquatus",532,"Saxicola torquata",124
"12","Lophophanes cristatus","Parus cristatus",6131,"Lophophanes cristatus",573,"Parus cristatus",79
"13","Spinus spinus","Carduelis spinus",7571,"Spinus spinus",579,"Carduelis spinus",24
"14","Acanthis flammea","Carduelis flammea",8483,"Acanthis flammea",582,"Carduelis flammea",134
"15","Butorides striata","Butorides virescens",8852,"Butorides striata",452,"Butorides virescens",211
"16","Periparus ater","Parus ater",9552,"Periparus ater",470,"Parus ater",77
"17","Poecile palustris","Parus palustris",9555,"Poecile palustris",541,"Parus palustris",82
"18","Poecile montanus","Parus montanus",11066,"Poecile montanus",503,"Parus montanus",81
